Glottocode;ISO639P3code
copa1236;zoc
chib1270;chb
nyan1308;nya
chic1272;pei
chic1270;cic
chic1271;cob
chig1238;cgg
east2333;mng
chil1280;clc
chil1275;clh
lomw1241;ngl
chim1301;cid
chim1302;qug
chim1309;cbg
coma1246;cco
ojit1237;chj
pala1351;cpa
quio1240;chq
usil1237;cuc
soch1239;cso
tepe1279;cnt
ngon1269;ngo
chin1272;chn
haka1240;cnh
siyi1240;csy
tedi1235;ctd
thad1238;tcz
zyph1238;zyp
chip1262;cap
chip1262;cap
chip1262;cap
chip1261;chp
chip1241;ciw
chiq1248;cax
mesc1238;apm
east2555;gui
kang1288;kcp
chir1283;cdf
chit1248;ctm
chit1248;ctm
guja1253;gju
chit1274;the
choa1237;zpc
choc1279;coz
choc1279;coz
choc1276;cho
chok1245;cjk
chol1284;cht
;qjt
chol1282;ctu
chol1282;ctu
chon1284;cog
taba1266;chf
chon1287;coh
balt1258;bft
iyoj1235;crt
moni1237;mom
iyow1239;crq
chor1273;caa
chor1273;caa
chot1239;nct
chra1242;crw
chra1242;crw
west2763;amw
chru1239;cje
chug1252;cvg
chuj1250;cac
chuj1250;cac
chuk1274;cuh
chuk1274;cuh
chuk1273;ckt
chuk1273;ckt
barb1263;boi
chum1261;ncu
chur1258;cdj
chuv1255;chv
chuv1255;chv
chuw1238;chw
chuw1238;chw
giry1241;nyf
ciba1236;ckl
cici1237;awc
cimb1238;cim
cind1241;cdr
cind1241;cdr
cind1241;cdr
cind1241;cdr
cine1238;cie
cint1239;cin
cish1238;asg
cita1245;txt
atay1247;tay
ciwo1236;tgd
yaoo1241;yao
clal1241;clm
stan1318;arb
clas1253;myz
clas1253;myz
clas1250;nci
clas1252;syc
coah1252;xcw
coas1295;kjc
nucl1649;tsi
sanb1241;zpx
coch1272;coj
coco1261;coc
;
coeu1236;crd
cofa1242;con
;
;
bari1297;mot
colo1256;cof
colu1241;col
coma1245;com
